Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
TOI-237,M4.5 V,3212.00,0.21,0.18,-2.387,5.04,4.500
TOI-2406,M4 V,3100.00,0.20,0.16,0.531,5.04,
TOI-2411,,4099.00,0.68,0.65,-0.871,4.59,
TOI-2421,,5607.00,1.75,1.13,0.436,4.00,7.500
TOI-2427,,4072.00,0.65,0.64,-0.942,4.62,
TOI-2445,,3333.00,0.27,0.25,-2.084,4.97,
TOI-251,,5875.00,0.88,1.04,-0.080,4.56,0.180
TOI-2545,,5846.29,1.25,1.06,0.218,4.27,
TOI-2567,,5611.00,1.69,1.13,0.405,4.04,7.600
TOI-257,,6095.00,1.87,1.41,0.636,4.04,
TOI-2570,,5771.00,1.09,1.06,0.079,4.38,4.400
TOI-2669,,4800.00,4.10,1.19,0.906,3.29,5.900
TOI-269,M2 V,3514.00,0.40,0.39,-1.647,4.83,
TOI-3331 A,,5609.00,0.95,1.02,-0.093,4.49,2.100
TOI-3362,,6532.00,1.83,1.45,0.739,4.07,2.140
TOI-3540 A,,5810.00,1.23,1.08,0.190,4.29,6.000
TOI-3629,M1,3870.00,0.60,0.63,-1.200,4.67,7.000
TOI-3693,,5321.00,0.79,0.87,-0.344,4.58,3.000
TOI-3714,M2,3660.00,0.51,0.53,-1.438,4.75,2.900
TOI-3757,M0 V,3913.00,0.62,0.64,-1.060,4.68,7.100
TOI-4137,,6202.00,1.44,1.31,0.439,4.24,2.100
TOI-4329,,6000.00,2.31,1.54,0.799,3.90,2.390
TOI-4479,M3.0,3400.00,0.45,0.45,-1.604,4.50,
TOI-481,G,5735.00,1.66,1.14,0.435,4.06,6.700
TOI-5153,F8 V,6300.00,1.40,1.24,0.464,4.30,5.400
TOI-5174,,5643.77,1.09,1.00,0.039,4.36,
TOI-519,M3.5,3350.00,0.37,0.37,-1.857,5.00,
TOI-5238,,5631.00,1.02,1.00,-0.023,4.42,
TOI-530,M0.5 V,3659.00,0.54,0.53,-1.310,4.70,
TOI-532,,3927.00,0.61,0.64,-1.095,4.67,7.100
TOI-5398,,6017.10,1.05,1.11,0.117,4.44,
TOI-540,M V,3216.00,0.19,0.16,-2.461,4.44,1.100
TOI-544,,4369.00,0.66,0.85,-0.900,4.73,
TOI-5542,G3 V,5700.00,1.06,0.89,1.057,4.20,10.800
TOI-558,F V,6466.00,1.50,1.35,0.547,4.22,1.790
TOI-559,G V,5925.00,1.23,1.03,0.227,4.27,6.800
TOI-564,,5640.00,1.09,1.00,0.033,4.36,7.300
TOI-620,M2.5 V,3708.00,0.55,0.58,-1.288,4.72,7.200
TOI-628,,6250.00,1.34,1.31,0.394,4.30,1.280
TOI-640,,6460.00,2.08,1.54,0.834,3.99,1.990
TOI-674,M2 V,3514.00,0.42,0.42,-1.614,4.81,
TOI-677,F8,6295.00,1.28,1.18,0.312,4.29,2.920
TOI-813,G0 IV,5907.00,1.94,1.32,0.619,3.86,3.730
TOI-824,K4 V,4600.00,0.70,0.71,-0.710,4.61,7.500
TOI-833,,3920.00,0.60,0.61,-1.111,4.67,
TOI-837,G0/F9 V,6047.00,1.02,1.12,0.041,4.47,0.035
TOI-849,G,5373.80,0.92,0.93,-0.218,4.48,6.700
TOI-892,F,6261.00,1.39,1.28,0.431,4.26,2.200
TOI-905,,5570.00,0.92,0.97,-0.137,4.50,3.400
TOI-954,,5710.00,1.89,1.20,0.535,3.96,6.140
TYC 0434-04538-1,,4679.00,9.99,1.04,1.670,2.49,
TYC 2187-512-1,M1.0 V,3734.00,0.50,0.50,-1.381,4.68,
TYC 3318-01333-1,,4776.00,5.90,1.19,1.210,2.97,
TYC 3667-1280-1,,5130.00,6.26,1.87,1.380,3.11,1.350
TYC 4282-00605-1,,4300.00,16.21,0.97,1.910,2.00,10.100
TrES-1,K0 V,5230.00,0.85,1.04,-0.301,4.57,3.700
TrES-2,G0 V,5850.00,1.12,1.36,0.038,4.43,3.550
TrES-3,G4 V,5650.00,0.83,0.93,-0.204,4.57,1.000
TrES-4,F8 V,6200.00,1.66,1.08,0.726,4.06,2.200
TrES-5,,5171.00,0.87,0.90,-0.344,4.52,7.400
UKIRT-2017-BLG-001L,,,,0.81,,,
USco CTIO 108,M7,2700.00,0.35,0.06,-1.950,4.88,0.003
USco1556 A,M3.0 V,3410.00,0.67,0.33,-1.090,4.59,0.007
USco1621 A,M2.5 V,3460.00,0.71,0.36,-1.020,4.25,0.007
V0391 Peg,sdBV,29300.00,0.23,0.50,1.433,5.40,10.000
V830 Tau,,4250.00,2.00,1.00,0.080,,0.002
VHS J125601.92-125723.9,M7.5,2620.00,,0.07,-3.140,5.05,0.225
WASP-1,F7 V,6110.00,1.47,1.24,0.441,4.21,3.400
WASP-10,K5 V,4675.00,0.70,0.75,-0.640,4.63,7.000
WASP-100,F2,6900.00,1.57,0.77,0.766,4.35,1.570
WASP-101,F6,6380.00,1.31,1.41,0.421,4.31,1.140
WASP-103,F8 V,6110.00,1.44,1.22,0.413,4.22,4.000
WASP-104,G8,5475.00,0.96,1.08,-0.190,4.50,3.000
WASP-105,K2,5070.00,0.90,0.89,-0.024,4.20,
WASP-106,F9,6055.00,1.31,0.93,0.422,4.23,7.000
WASP-11,K3 V,4800.00,0.89,1.42,0.000,4.45,7.600
WASP-110,G9,5400.00,0.86,0.95,-0.229,4.10,
WASP-113,G1,5890.00,1.61,1.32,0.516,4.20,6.200
WASP-114,G0,5940.00,1.43,1.29,0.333,4.30,4.300
WASP-117,F9,6040.00,1.22,1.29,0.274,4.28,4.600
WASP-118,F6,6410.00,1.70,1.32,0.659,4.10,1.170
WASP-119,G5,5650.00,1.20,1.02,0.075,4.26,8.000
WASP-12,,6360.00,1.66,1.43,0.597,4.16,2.000
WASP-120,F5,6450.00,1.87,1.39,0.675,4.04,2.600
WASP-121,F6 V,6776.00,1.46,1.36,0.644,4.24,1.500
WASP-123,G5,5740.00,1.29,1.17,0.162,4.29,6.900
WASP-124,F9,6050.00,1.02,1.07,0.149,4.44,2.100
WASP-127,,5620.00,1.33,0.95,0.276,4.18,11.410
WASP-129,G1,5900.00,0.90,1.00,0.112,4.53,1.000
WASP-13,,5950.00,1.37,0.72,0.436,4.06,5.000
WASP-130,G6,5625.00,0.96,1.04,-0.032,4.49,2.000
WASP-131,G0,6030.00,1.53,1.06,0.530,4.09,4.500
WASP-133,G4,5700.00,1.44,1.16,0.305,4.18,6.800
WASP-135,G5 V,5675.00,0.96,0.98,-0.326,4.47,0.600
WASP-136,,6260.00,2.21,1.41,0.823,3.90,3.620
WASP-138,,6272.00,1.36,1.22,0.435,4.25,3.440
WASP-139,K0,5310.00,0.80,0.92,-0.345,4.59,0.500
WASP-14,,6475.00,1.40,1.62,0.427,4.07,0.750
WASP-140,K0,5260.00,0.87,0.90,-0.294,4.51,0.500
WASP-141,F9,5900.00,1.37,1.25,0.315,4.26,5.000
WASP-142,F8,6010.00,1.64,1.33,0.513,4.13,2.000
WASP-144,K2 V,5200.00,0.81,0.81,-0.129,4.53,8.710
WASP-145 A,K2 V,4900.00,0.68,0.76,-0.684,4.65,6.990
WASP-147,G4,5702.00,1.43,1.04,0.287,4.21,8.470
WASP-15,F7,6300.00,1.48,1.18,0.490,4.35,2.400
WASP-150,F8,6218.00,1.65,1.39,0.558,4.15,2.950
WASP-151,G1,5871.00,1.18,1.08,0.145,4.35,5.500
WASP-153,G0,5914.00,1.73,1.34,0.460,4.10,4.000
WASP-156,K3,4910.00,0.76,0.84,-0.435,4.60,6.400
WASP-157,G2 V,5772.00,1.10,1.06,0.079,4.38,1.600
WASP-158,F6 V,6350.00,1.39,1.38,0.483,4.30,1.930
WASP-159,F9,6120.00,2.11,1.41,0.678,3.94,3.400
WASP-16,,5700.00,1.14,1.78,0.010,4.49,8.600
WASP-160 B,K0 V,5298.00,0.87,0.87,-0.318,4.50,9.750
WASP-161,,6400.00,1.71,1.39,0.647,4.11,
WASP-162,K0,5300.00,1.11,0.95,0.054,4.33,12.970
WASP-163,,5500.00,1.01,0.97,-0.076,4.41,
WASP-164,G2 V,5806.00,0.93,0.95,-0.067,4.46,4.080
WASP-165,G6,5599.00,1.75,1.25,0.428,3.93,4.770
WASP-166,F9 V,6050.00,1.22,1.19,0.283,4.34,2.100
WASP-167,F1 V,7000.00,1.79,1.59,0.897,4.13,1.290
WASP-168,F9 V,6000.00,1.12,1.08,0.155,4.37,3.960
WASP-169,F8,6110.00,2.01,1.34,0.789,3.96,3.802
WASP-17,F4,6550.00,1.49,2.28,0.613,4.20,2.650
WASP-170,,5600.00,0.94,0.93,-0.114,4.47,
WASP-171,G0,5965.00,1.64,1.17,0.672,4.08,5.908
WASP-172,F1 V,6900.00,1.91,1.49,0.934,4.05,1.790
WASP-173 A,G3,5800.00,1.11,1.05,0.083,4.37,6.780
WASP-174,F6 V,6399.00,1.35,1.24,0.436,4.27,2.200
WASP-175,F7,6229.00,1.20,1.21,0.789,4.36,1.745
WASP-176,F9,5941.00,1.93,1.34,0.617,4.00,4.810
WASP-177,K2,5017.00,0.89,0.88,-0.412,4.49,9.700
WASP-178,A1 IV-V,9360.00,1.67,2.07,1.215,4.31,0.430
WASP-180 A,F7 V,6600.00,1.19,1.30,0.315,4.42,1.200
WASP-181,G2,5839.00,0.97,1.04,0.049,4.49,2.500
WASP-182,G5,5638.00,1.34,1.08,0.155,4.22,5.952
WASP-183,G9,5313.00,0.87,0.78,-0.209,4.45,14.900
WASP-184,G0 V,6000.00,1.65,1.23,0.501,4.09,4.700
WASP-185,G0 V,5900.00,1.50,1.12,0.412,4.13,6.600
WASP-186,F,6361.00,1.47,1.22,0.500,4.19,3.100
WASP-187,F,6150.00,2.83,1.54,0.967,3.72,2.550
WASP-189,,8000.00,2.36,2.03,1.262,3.90,0.730
WASP-19,G8 V,5616.00,1.01,0.97,-0.043,4.42,6.400
WASP-190,F6 IV-V,6400.00,1.60,1.35,0.691,4.17,
WASP-192,G0 V,5910.00,1.32,1.09,0.282,4.24,5.700
WASP-2,K1,5180.00,0.87,0.90,-0.313,4.51,8.200
WASP-20,F9,5940.00,1.39,1.20,0.338,4.23,7.000
WASP-21,G3 V,5800.00,1.06,1.01,0.304,4.28,12.000
WASP-22,G1 V,6000.00,1.24,1.46,0.245,4.50,3.000
WASP-23,,5150.00,0.77,0.78,-0.377,4.56,6.200
WASP-24,,6075.00,1.42,1.43,0.331,4.26,3.800
WASP-25,,5750.00,0.80,0.67,-0.143,4.50,0.020
WASP-26,G0,6034.00,1.22,0.86,0.287,4.44,6.000
WASP-28,F8,6084.00,1.08,0.99,0.150,4.37,5.500
WASP-29,,4800.00,0.79,0.77,-0.525,4.50,14.000
WASP-3,,6400.00,1.44,1.62,0.434,4.25,2.100
WASP-31,,6302.00,1.25,1.16,0.336,4.31,1.000
WASP-32,,6140.00,0.95,0.72,0.193,4.40,2.220
WASP-33,A5,7430.00,1.44,1.50,0.819,4.25,
WASP-34,,5700.00,0.91,0.96,0.039,4.50,7.800
WASP-35,,5990.00,1.08,1.05,0.144,4.40,5.000
WASP-36,,5959.00,0.99,1.08,0.001,4.49,1.400
WASP-37,,5800.00,1.00,0.93,-0.021,4.41,11.000
WASP-38,F8 V,6180.00,1.52,1.76,0.453,4.25,3.290
WASP-39,,5400.00,0.90,0.93,-0.128,4.45,9.000
WASP-4,G8,5400.00,0.89,0.86,-0.179,4.47,7.000
WASP-42,,5315.00,0.89,0.95,-0.361,4.52,4.400
WASP-43,K7 V,4400.00,0.60,0.58,-0.825,4.49,7.000
WASP-44,G8 V,5420.00,0.91,0.94,-0.198,4.49,10.300
WASP-45,K2 V,5150.00,0.86,0.85,-0.336,4.50,12.700
WASP-46,G6 V,5600.00,0.86,0.83,-0.111,4.49,9.600
WASP-48,,5920.00,1.58,0.88,0.580,4.03,7.900
WASP-49,G6 V,5600.00,0.97,0.92,-0.053,4.50,11.900
WASP-5,G5,5700.00,1.03,0.96,0.067,4.40,5.400
WASP-50,,5400.00,0.84,0.89,-0.198,4.54,7.000
WASP-52,K2 V,5000.00,0.79,0.87,-0.354,4.58,0.400
WASP-54,F9,6100.00,1.76,1.08,0.575,4.00,6.900
WASP-55,,5900.00,1.09,1.11,0.163,4.30,1.100
WASP-56,G6,5600.00,0.96,0.71,0.103,4.50,6.200
WASP-57,G6,5600.00,0.93,0.89,-0.005,4.45,2.600
WASP-58,G2 V,5800.00,1.22,1.06,0.160,4.27,12.800
WASP-59,K5 V,4650.00,0.61,0.72,-0.794,4.72,0.500
WASP-6,,5450.00,0.73,0.55,-0.297,4.60,11.000
WASP-60,G1 V,5900.00,1.17,1.19,0.347,4.20,1.700
WASP-61,,6250.00,1.55,1.82,0.425,4.26,2.700
WASP-62,,6230.00,1.23,1.11,0.346,4.45,2.600
WASP-63,,5550.00,1.86,1.28,0.449,4.01,8.300
WASP-64,G7,5400.00,1.06,1.00,-0.022,4.39,1.200
WASP-65,G6,5600.00,1.01,0.93,0.055,4.40,8.000
WASP-66,,6600.00,1.76,1.33,0.637,4.30,3.700
WASP-67,,5200.00,0.88,0.91,-0.294,4.35,12.600
WASP-68,G0,5910.00,1.79,1.49,0.505,4.17,5.700
WASP-69,K5,4700.00,0.86,0.98,-0.468,4.50,7.000
WASP-7,,6400.00,1.43,1.28,0.537,4.23,2.400
WASP-70 A,G4,5763.00,1.22,1.11,0.162,4.31,9.500
WASP-71,F8,6050.00,1.82,0.76,0.768,3.90,3.000
WASP-72,F7,6250.00,2.18,2.78,0.724,4.09,3.200
WASP-73,F9,6030.00,2.55,2.52,0.795,3.93,4.300
WASP-74,F9,5990.00,1.42,0.98,0.400,4.39,3.700
WASP-75,F9,6100.00,1.26,1.14,0.304,4.29,3.500
WASP-76,F7,6250.00,1.73,1.46,0.689,4.13,5.300
WASP-77 A,G8 V,5617.00,0.91,0.90,-0.129,4.48,6.200
WASP-78,,6100.00,2.46,1.87,0.763,4.10,2.800
WASP-79,,6600.00,1.60,1.43,0.664,4.20,1.400
WASP-80,K7-M0 V,4143.00,0.59,0.58,-1.040,4.66,7.000
WASP-81,,5870.00,1.28,1.08,0.246,4.26,
WASP-82,F5,6480.00,2.10,1.48,0.794,3.96,
WASP-83,G8,5510.00,1.05,1.11,-0.050,4.44,5.000
WASP-84,K0,5314.00,0.75,0.84,-0.325,4.40,1.000
WASP-85 A,G5 V,6112.00,0.94,1.09,-0.071,4.50,
WASP-87,,6450.00,1.63,1.20,0.537,4.08,
WASP-88,F6,6430.00,1.80,0.94,0.724,3.96,3.000
WASP-89,K3,5130.00,0.88,0.92,-0.343,4.52,1.300
WASP-90,F6,6430.00,1.98,1.55,0.630,4.03,4.400
WASP-91,K3,4920.00,0.86,0.84,-0.383,4.30,
WASP-92,F7,6280.00,1.34,1.19,0.275,4.26,2.290
WASP-93,F4,6700.00,1.52,1.33,0.618,4.20,0.700
WASP-94 A,F8,6170.00,1.48,1.67,0.510,4.27,2.700
WASP-94 B,F9,6040.00,1.35,1.24,0.351,4.26,4.000
WASP-95,G2,5830.00,1.23,1.46,0.178,4.36,2.400
WASP-96,G8,5540.00,1.05,1.06,0.032,4.42,8.000
WASP-97,G5,5640.00,1.08,1.18,0.071,4.45,4.800
WASP-98,G7,5473.00,0.74,0.81,-0.358,4.61,2.700
WASP-99,F8,6150.00,1.64,1.21,0.543,4.30,3.000
WD 0806-661,DQ,9552.00,,0.62,,,2.100
WD 1856+534,,4710.00,0.01,0.52,-4.120,7.92,7.930
WISEP J121756.91+162640.2 A,T8.5,575.00,0.09,0.03,-6.090,5.00,6.000
WTS-1,F6 V,6250.00,1.15,1.20,0.088,4.40,2.550
WTS-2,K2 V,5000.00,0.75,0.82,-0.288,4.60,0.600
Wendelstein-1,K7 V,4251.00,0.61,0.65,-0.938,4.55,
Wendelstein-2,K6 V,4591.00,0.66,0.73,-0.834,4.53,
Wolf 503,K3.5 V,4716.00,0.69,0.69,-0.676,4.62,11.000
XO-1,G1 V,5750.00,0.88,0.88,-0.086,4.51,0.900
XO-2 N,K0 V,5340.00,0.99,0.97,-0.088,4.43,7.800
XO-3,F5V,6429.00,1.54,0.58,0.706,3.95,2.820
XO-4,F5 V,6397.00,1.45,1.10,0.536,4.18,2.100
XO-5,G8 V,5430.00,1.13,1.04,-0.060,4.35,8.500
XO-6,F5,6720.00,1.93,1.47,0.536,4.04,1.880
XO-7,G0 V,6250.00,1.48,1.41,0.431,4.25,1.180
YSES 2,K1 V,4749.00,1.19,1.10,-0.185,4.25,0.014
alf Ari,K2III,4553.00,13.90,1.50,1.934,2.49,
alf Tau,K5 III,4055.00,45.10,1.13,2.672,1.20,6.600
b Cen A,B2.5 V,,,5.50,,,0.015
bet Cnc,K4 III,4092.10,47.20,1.70,2.900,1.40,1.850
bet UMi,K4 III,4126.00,38.30,1.40,2.730,1.50,2.950
eps CrB,K2 III,4406.00,21.00,1.70,2.235,1.94,1.740
eps Eri,K2 V,5020.38,0.76,0.82,-0.419,4.59,0.600
eps Ind A,K2 V,4754.00,0.78,0.75,-0.622,4.57,4.700
eps Tau,K0 III,4901.00,13.70,2.70,1.987,2.67,
gam 1 Leo,K1 IIIb Fe-0.5,4330.00,31.88,1.23,2.510,1.66,2.412
gam Cep,K1 IV,4888.00,4.90,1.40,1.073,3.33,5.400
gam Psc,G7 III,4742.00,11.20,0.99,1.766,2.33,
kap And,B9 IV,10900.00,2.31,2.60,1.830,3.78,0.030
kap CrB,K0 III-IV,4871.00,4.85,1.50,1.084,3.26,3.420
mu 2 Sco,B2 IV,21700.00,5.60,9.10,3.800,3.80,0.020
mu Leo,K2 III,4538.20,11.40,1.50,1.797,2.40,3.350
ome Ser,G8 III,4770.00,12.30,2.17,1.850,2.32,
omi CrB,K0,4749.00,10.50,2.13,1.709,2.65,7.827
omi UMa,G5 III,5242.00,14.10,3.09,2.140,,
psi 1 Dra B,G0 V,6212.00,1.26,1.19,0.326,4.20,3.300
tau Boo,F7 V,6466.27,1.43,1.32,0.505,4.25,2.000
tau Gem,K2 III,4388.00,26.80,2.30,2.519,1.96,1.220
ups Leo,G9 III,4836.00,11.22,1.48,1.800,2.46,
xi Aql,G9 III,4780.00,12.00,2.20,1.839,2.66,7.100
